2025-02-10 12:40:56.583: DGCSG(
  (ae): AE(
    (enc_1): Linear(in_features=2000, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=2000, bias=True)
    (z_layer): Linear(in_features=2000, out_features=10, bias=True)
    (dec_1): Linear(in_features=10, out_features=2000, bias=True)
    (dec_2): Linear(in_features=2000, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=2000, bias=True)
    (act): LeakyReLU(negative_slope=0.2, inplace=True)
  )
  (gate_1): GATLayer(
    (leakyrelu): LeakyReLU(negative_slope=0.3)
  )
  (gate_2): GATLayer(
    (leakyrelu): LeakyReLU(negative_slope=0.3)
  )
  (gate_3): GATLayer(
    (leakyrelu): LeakyReLU(negative_slope=0.3)
  )
  (s): Sigmoid()
)
2025-02-10 12:40:56.583: Namespace(name='Pollen', cuda=False, n_z=10, lr=0.0001, n_clusters=11, n_input=2000, alpha=10, beta=3e-05)
2025-02-10 12:40:56.583: metrics:	 nmi	 ari
2025-02-10 12:40:59.240: epoch162 Q:	0.8632	0.7786
2025-02-10 12:40:59.249: epoch163 Q:	0.8632	0.7786
2025-02-10 12:40:59.257: epoch164 Q:	0.8632	0.7786
2025-02-10 12:40:59.264: epoch165 Q:	0.8632	0.7786
2025-02-10 12:40:59.273: epoch166 Q:	0.8632	0.7786
2025-02-10 12:40:59.282: epoch167 Q:	0.8632	0.7786
2025-02-10 12:40:59.290: epoch168 Q:	0.8632	0.7786
2025-02-10 12:40:59.298: epoch169 Q:	0.8669	0.7809
2025-02-10 12:40:59.307: epoch170 Q:	0.8669	0.7809
2025-02-10 12:40:59.315: epoch171 Q:	0.8687	0.7825
2025-02-10 12:40:59.324: epoch172 Q:	0.8687	0.7825
2025-02-10 12:40:59.333: epoch173 Q:	0.8687	0.7825
2025-02-10 12:40:59.343: epoch174 Q:	0.8687	0.7825
2025-02-10 12:40:59.351: epoch175 Q:	0.8687	0.7825
2025-02-10 12:40:59.360: epoch176 Q:	0.8687	0.7825
2025-02-10 12:40:59.371: epoch177 Q:	0.8687	0.7825
2025-02-10 12:40:59.379: epoch178 Q:	0.8687	0.7825
2025-02-10 12:40:59.387: epoch179 Q:	0.8687	0.7825
2025-02-10 12:40:59.398: epoch180 Q:	0.8687	0.7825
2025-02-10 12:40:59.409: epoch181 Q:	0.8687	0.7825
2025-02-10 12:40:59.418: epoch182 Q:	0.8687	0.7825
